id,description,date,assigned_amount,spent,is_recurring,fifty_30_twenty_category_id,category_id,month_only
1,flight,2024-08-07,200,-100,0,,1,2024-08-01
2,flight,2024-08-07,100,0,0,,2,2024-08-01
3,clothes,2024-08-07,600,0,0,,3,2024-08-01
4,food,2024-08-07,50,0,0,4,,2024-08-01
5,"Fancy dinner",2024-08-07,70,0,0,14,,2024-08-01
6,Rent,2024-08-07,60,70,0,13,,2024-08-01
7,"first expense",2024-08-07,10000,0,0,,7,2024-08-01
8,food,2024-08-08,30,200,1,19,,2024-08-01
11,food,2024-08-08,30,0,1,22,,2024-08-01
12,cloths,2024-08-08,50,0,1,23,,2024-08-01
13,repairs,2024-08-09,54,0,0,31,,2024-08-01
18,Food,2024-08-10,10000,12000,1,,15,2024-08-01
19,Food,2024-08-10,10000,0,1,,16,2024-08-01
20,Rent,2024-08-11,200,0,1,,9,2024-08-01
21,Rent,2024-08-11,200,0,1,,17,2024-08-01
22,Rent,2024-08-11,500,0,1,,14,2024-08-01
23,Ren,2024-08-11,400,0,0,40,,2024-08-01
24,Rent1,2024-08-11,400,0,1,10,,2024-08-01
