id,assigned_amount,month,name,budget_id,created_at,updated_at,is_recurring,month_only
1,21666.5,2024-08-01,Needs,6,"2024-08-07 14:05:23.720053","2024-08-07 14:05:57.214874",1,2024-08-01
2,12999.9,2024-08-01,Wants,6,"2024-08-07 14:05:23.737887","2024-08-07 14:05:57.232951",1,2024-08-01
3,8666.6,2024-08-01,Savings,6,"2024-08-07 14:05:23.759146","2024-08-07 14:05:57.251706",1,2024-08-01
4,0,2024-08-01,Needs,7,"2024-08-07 14:11:00.336252","2024-08-07 14:11:43.737339",1,2024-08-01
5,0,2024-08-01,Wants,7,"2024-08-07 14:11:00.351398","2024-08-07 14:11:00.351434",1,2024-08-01
6,0,2024-08-01,Savings,7,"2024-08-07 14:11:00.368521","2024-08-07 14:11:00.368557",1,2024-08-01
7,0,2024-09-01,Needs,7,"2024-08-07 14:11:26.105395","2024-08-07 14:11:26.105419",1,2024-08-01
8,0,2024-09-01,Wants,7,"2024-08-07 14:11:26.124919","2024-08-07 14:11:26.124943",1,2024-08-01
9,0,2024-09-01,Savings,7,"2024-08-07 14:11:26.141400","2024-08-07 14:11:26.141421",1,2024-08-01
10,500,2024-08-01,Needs,8,"2024-08-07 14:29:10.958158","2024-08-11 17:53:38.141763",1,2024-08-01
11,300,2024-08-01,Wants,8,"2024-08-07 14:29:10.979704","2024-08-09 18:40:27.191867",1,2024-08-01
12,200,2024-08-01,Savings,8,"2024-08-07 14:29:11.000670","2024-08-09 18:40:27.213538",1,2024-08-01
13,15,2024-08-01,Needs,9,"2024-08-07 14:43:08.902414","2024-08-07 14:57:01.966124",1,2024-08-01
14,9,2024-08-01,Wants,9,"2024-08-07 14:43:08.930041","2024-08-07 14:57:01.898943",1,2024-08-01
15,6,2024-08-01,Savings,9,"2024-08-07 14:43:08.947708","2024-08-07 14:57:01.927391",1,2024-08-01
16,10000,2024-08-01,Needs,12,"2024-08-07 21:33:04.314749","2024-08-07 21:33:38.933914",1,2024-08-01
17,6000,2024-08-01,Wants,12,"2024-08-07 21:33:04.340667","2024-08-07 21:33:38.949882",1,2024-08-01
18,4000,2024-08-01,Savings,12,"2024-08-07 21:33:04.358357","2024-08-07 21:33:38.964835",1,2024-08-01
19,650,2024-08-01,Needs,13,"2024-08-08 11:47:52.907632","2024-08-08 13:08:10.053959",1,2024-08-01
20,390,2024-08-01,Wants,13,"2024-08-08 11:47:52.923489","2024-08-08 13:08:09.860971",1,2024-08-01
21,260,2024-08-01,Savings,13,"2024-08-08 11:47:52.936756","2024-08-08 13:08:09.876616",1,2024-08-01
22,650,2024-09-01,Needs,13,"2024-08-08 12:11:34.201592","2024-08-08 13:08:09.892302",1,2024-08-01
23,390,2024-09-01,Wants,13,"2024-08-08 12:11:34.228242","2024-08-08 13:08:09.911201",1,2024-08-01
24,260,2024-09-01,Savings,13,"2024-08-08 12:11:34.249038","2024-08-08 13:08:09.943430",1,2024-08-01
25,650,2024-10-01,Needs,13,"2024-08-08 12:18:13.127009","2024-08-08 13:08:09.964258",1,2024-08-01
26,390,2024-10-01,Wants,13,"2024-08-08 12:18:13.160365","2024-08-08 13:08:09.983555",1,2024-08-01
27,260,2024-10-01,Savings,13,"2024-08-08 12:18:13.183645","2024-08-08 13:08:10.005180",1,2024-08-01
28,150.5,2024-08-01,Needs,17,"2024-08-09 09:25:12.733868","2024-08-09 09:28:04.569041",1,2024-08-01
29,90.3,2024-08-01,Wants,17,"2024-08-09 09:25:12.755767","2024-08-09 09:28:04.589781",1,2024-08-01
30,60.2,2024-08-01,Savings,17,"2024-08-09 09:25:12.778737","2024-08-09 09:28:04.622099",1,2024-08-01
31,1250,2024-08-01,Needs,18,"2024-08-09 17:55:55.796838","2024-08-09 18:46:47.838074",1,2024-08-01
32,750,2024-08-01,Wants,18,"2024-08-09 17:55:55.818133","2024-08-09 18:46:47.853728",1,2024-08-01
33,500,2024-08-01,Savings,18,"2024-08-09 17:55:55.833470","2024-08-09 18:46:47.869025",1,2024-08-01
34,1250,2024-09-01,Needs,18,"2024-08-09 17:59:30.508684","2024-08-09 18:46:47.887620",1,2024-08-01
35,750,2024-09-01,Wants,18,"2024-08-09 17:59:30.533185","2024-08-09 18:46:47.905412",1,2024-08-01
36,500,2024-09-01,Savings,18,"2024-08-09 17:59:30.552559","2024-08-09 18:46:47.919008",1,2024-08-01
37,2000,2024-08-01,Needs,22,"2024-08-10 20:37:37.192044","2024-08-10 20:38:24.899376",1,2024-08-01
38,1200,2024-08-01,Wants,22,"2024-08-10 20:37:37.213432","2024-08-10 20:38:24.916577",1,2024-08-01
39,800,2024-08-01,Savings,22,"2024-08-10 20:37:37.233632","2024-08-10 20:38:24.933090",1,2024-08-01
40,0,2024-08-01,Needs,23,"2024-08-11 17:53:15.399897","2024-08-11 22:45:25.555340",1,2024-08-01
41,0,2024-08-01,Wants,23,"2024-08-11 17:53:15.420456","2024-08-11 17:53:15.420480",1,2024-08-01
42,0,2024-08-01,Savings,23,"2024-08-11 17:53:15.439447","2024-08-11 17:53:15.439468",1,2024-08-01
43,0,2024-08-01,Needs,26,"2024-08-12 09:17:44.197785","2024-08-12 09:17:44.197814",1,2024-08-01
44,0,2024-08-01,Wants,26,"2024-08-12 09:17:44.215504","2024-08-12 09:17:44.215527",1,2024-08-01
45,0,2024-08-01,Savings,26,"2024-08-12 09:17:44.233517","2024-08-12 09:17:44.233548",1,2024-08-01
